# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
250000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 5.68583e-05 2.66667e-06
18 1.05 0.000391467 2.48e-05
19 1.11 0.00113781 9.54667e-05
20 1.17 0.00110176 0.000172267
21 1.23 0.00139015 0.000279733
22 1.29 0.00164219 0.000417867
23 1.35 0.00262409 0.000657067
24 1.41 0.00436909 0.00108853
25 1.47 0.00695456 0.001836
26 1.53 0.0121619 0.00324773
27 1.59 0.0208445 0.0058488
28 1.65 0.0354502 0.0106195
29 1.71 0.0612996 0.0194355
30 1.77 0.102178 0.0351155
31 1.83 0.163111 0.0617891
32 1.89 0.250249 0.105285
33 1.95 0.369746 0.173358
34 2.01 0.513595 0.273394
35 2.07 0.68062 0.413481
36 2.13 0.861022 0.600314
37 2.19 1.03785 0.837579
38 2.25 1.19803 1.12575
39 2.31 1.34317 1.46539
40 2.37 1.45119 1.85066
41 2.43 1.52716 2.27585
42 2.49 1.5664 2.73245
43 2.55 1.57021 3.21149
44 2.61 1.55732 3.70812
45 2.67 1.51789 4.21371
46 2.73 1.46912 4.72458
47 2.79 1.40697 5.23491
48 2.85 1.34302 5.74253
49 2.91 1.2762 6.24493
50 2.97 1.21402 6.74257
51 3.03 1.15365 7.23425
52 3.09 1.10206 7.72242
53 3.15 1.05125 8.20625
54 3.21 1.00803 8.68796
55 3.27 0.97535 9.17172
56 3.33 0.93693 9.65372
57 3.39 0.91268 10.1405
58 3.45 0.889386 10.6322
59 3.51 0.873222 11.1324
60 3.57 0.86024 11.6425
61 3.63 0.853953 12.1666
62 3.69 0.849867 12.7062
63 3.75 0.849404 13.2636
64 3.81 0.854475 13.8431
65 3.87 0.860674 14.4462
66 3.93 0.87051 15.0755
67 3.99 0.883652 15.7348
68 4.05 0.897843 16.4255
69 4.11 0.914185 17.1502
70 4.17 0.929688 17.9094
71 4.23 0.948234 18.7064
72 4.29 0.966269 19.5419
73 4.35 0.982954 20.4156
74 4.41 0.998895 21.3281
75 4.47 1.01497 22.2807
76 4.53 1.02996 23.2735
77 4.59 1.03906 24.3013
78 4.65 1.04633 25.3629
79 4.71 1.05362 26.4595
80 4.77 1.05949 27.59
81 4.83 1.06063 28.7497
82 4.89 1.06128 29.9382
83 4.95 1.06042 31.1546
84 5.01 1.0592 32.3986
85 5.07 1.05643 33.6686
86 5.13 1.05138 34.962
87 5.19 1.04362 36.2756
88 5.25 1.03702 37.6107
89 5.31 1.03081 38.9678
90 5.37 1.02257 40.3442
91 5.43 1.01527 41.7414
92 5.49 1.0096 43.1616
93 5.55 1.00378 44.6044
94 5.61 0.998404 46.0707
95 5.67 0.993616 47.5618
96 5.73 0.988482 49.0769
97 5.79 0.984827 50.6183
98 5.85 0.983332 52.1896
99 5.91 0.980638 53.7894
100 5.97 0.978569 55.4192
