# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
250000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 4.35299e-05 2.93333e-06
21 1.23 3.58068e-05 5.6e-06
22 1.29 8.78285e-05 1.33333e-05
23 1.35 9.86642e-05 2.21333e-05
24 1.41 0.000130752 3.46667e-05
25 1.47 0.000339534 7.04e-05
26 1.53 0.000573021 0.000133867
27 1.59 0.00160043 0.000325333
28 1.65 0.00436671 0.000885067
29 1.71 0.00987381 0.0022304
30 1.77 0.0212968 0.00534293
31 1.83 0.0429555 0.0120128
32 1.89 0.0825185 0.0255957
33 1.95 0.148496 0.0514464
34 2.01 0.246359 0.0967829
35 2.07 0.384937 0.171484
36 2.13 0.555036 0.285003
37 2.19 0.756624 0.447903
38 2.25 0.971734 0.667758
39 2.31 1.19085 0.950535
40 2.37 1.38078 1.29442
41 2.43 1.5319 1.69388
42 2.49 1.63785 2.14071
43 2.55 1.69904 2.62506
44 2.61 1.71598 3.13614
45 2.67 1.69844 3.66405
46 2.73 1.65617 4.20068
47 2.79 1.59179 4.73818
48 2.85 1.50856 5.26862
49 2.91 1.42591 5.79054
50 2.97 1.34916 6.30415
51 3.03 1.26672 6.80543
52 3.09 1.19231 7.29547
53 3.15 1.12359 7.7752
54 3.21 1.06315 8.2466
55 3.27 1.01256 8.71215
56 3.33 0.966051 9.17273
57 3.39 0.925255 9.63003
58 3.45 0.888295 10.0849
59 3.51 0.864447 10.5435
60 3.57 0.84319 11.0065
61 3.63 0.829705 11.478
62 3.69 0.818207 11.9591
63 3.75 0.8094 12.4513
64 3.81 0.810162 12.9606
65 3.87 0.810372 13.4869
66 3.93 0.817648 14.0353
67 3.99 0.830948 14.6107
68 4.05 0.843614 15.2134
69 4.11 0.85874 15.8462
70 4.17 0.875022 16.5107
71 4.23 0.894439 17.2102
72 4.29 0.91673 17.9483
73 4.35 0.939852 18.7271
74 4.41 0.963112 19.5473
75 4.47 0.985806 20.4101
76 4.53 1.00747 21.3158
77 4.59 1.02657 22.2629
78 4.65 1.042 23.2488
79 4.71 1.05932 24.2769
80 4.77 1.07271 25.3441
81 4.83 1.07973 26.4446
82 4.89 1.08655 27.5791
83 4.95 1.09159 28.746
84 5.01 1.09002 29.9387
85 5.07 1.08621 31.1548
86 5.13 1.08165 32.3935
87 5.19 1.07565 33.6533
88 5.25 1.0696 34.9342
89 5.31 1.05964 36.2315
90 5.37 1.05055 37.5462
91 5.43 1.04135 38.8778
92 5.49 1.03138 40.2256
93 5.55 1.02116 41.5891
94 5.61 1.01259 42.9703
95 5.67 1.00356 44.3686
96 5.73 0.994141 45.7833
97 5.79 0.985983 47.2158
98 5.85 0.978621 48.6673
99 5.91 0.973959 50.1422
100 5.97 0.968866 51.64
