# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
250000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0.000188062 9.33333e-06
18 1.05 0.00110998 7.30667e-05
19 1.11 0.0024501 0.000232
20 1.17 0.00289857 0.000438133
21 1.23 0.00331997 0.0007016
22 1.29 0.00452199 0.00109093
23 1.35 0.00647092 0.0016992
24 1.41 0.00971884 0.00269307
25 1.47 0.0149848 0.00434827
26 1.53 0.0245582 0.0072704
27 1.59 0.0390146 0.0122651
28 1.65 0.0639007 0.0210312
29 1.71 0.101798 0.0359493
30 1.77 0.157277 0.0605429
31 1.83 0.234649 0.0996173
32 1.89 0.335192 0.158934
33 1.95 0.461322 0.245515
34 2.01 0.610359 0.366751
35 2.07 0.77214 0.528934
36 2.13 0.935345 0.736341
37 2.19 1.09893 0.993259
38 2.25 1.24335 1.29923
39 2.31 1.36332 1.65187
40 2.37 1.4507 2.04605
41 2.43 1.49965 2.47347
42 2.49 1.52663 2.92942
43 2.55 1.52152 3.40493
44 2.61 1.50034 3.89535
45 2.67 1.45912 4.39394
46 2.73 1.40782 4.89612
47 2.79 1.35169 5.39907
48 2.85 1.29534 5.90156
49 2.91 1.23369 6.40006
50 2.97 1.17762 6.89551
51 3.03 1.12372 7.38727
52 3.09 1.07424 7.8759
53 3.15 1.03267 8.36412
54 3.21 0.996009 8.8532
55 3.27 0.962359 9.34371
56 3.33 0.932872 9.83699
57 3.39 0.91098 10.3364
58 3.45 0.895692 10.8453
59 3.51 0.882664 11.3648
60 3.57 0.871236 11.8956
61 3.63 0.867041 12.4421
62 3.69 0.865501 13.0063
63 3.75 0.868416 13.5915
64 3.81 0.87358 14.1994
65 3.87 0.879773 14.8319
66 3.93 0.885326 15.4889
67 3.99 0.898365 16.1767
68 4.05 0.915412 16.8989
69 4.11 0.932336 17.657
70 4.17 0.946724 18.4498
71 4.23 0.961815 19.2788
72 4.29 0.976409 20.1444
73 4.35 0.991818 21.0483
74 4.41 1.00436 21.9893
75 4.47 1.01722 22.9683
76 4.53 1.02925 23.9852
77 4.59 1.03778 25.0375
78 4.65 1.04505 26.1246
79 4.71 1.04885 27.2437
80 4.77 1.05227 28.3949
81 4.83 1.05653 29.5795
82 4.89 1.05585 30.7924
83 4.95 1.05262 32.0308
84 5.01 1.04864 33.294
85 5.07 1.04546 34.5833
86 5.13 1.04216 35.8985
87 5.19 1.03519 37.235
88 5.25 1.02991 38.5956
89 5.31 1.02298 39.9779
90 5.37 1.01731 41.3837
91 5.43 1.01047 42.8113
92 5.49 1.00501 44.2628
93 5.55 1.00055 45.7393
94 5.61 0.996362 47.2413
95 5.67 0.99255 48.7702
96 5.73 0.989065 50.3261
97 5.79 0.985297 51.9089
98 5.85 0.983437 53.5218
99 5.91 0.98317 55.1685
100 5.97 0.981812 56.8468
