# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
250000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 3.89967e-05 1.86667e-06
17 0.99 0.00211442 0.0001128
18 1.05 0.0101279 0.0007112
19 1.11 0.017079 0.00183627
20 1.17 0.0199791 0.00329947
21 1.23 0.0224347 0.0051032
22 1.29 0.0259886 0.0074008
23 1.35 0.0314691 0.0104376
24 1.41 0.0410056 0.0147408
25 1.47 0.0550997 0.0210267
26 1.53 0.0780361 0.0306312
27 1.59 0.11096 0.0453413
28 1.65 0.156161 0.0675613
29 1.71 0.216826 0.100581
30 1.77 0.296772 0.148862
31 1.83 0.395724 0.217498
32 1.89 0.514825 0.312479
33 1.95 0.646807 0.43929
34 2.01 0.788489 0.603128
35 2.07 0.926082 0.806806
36 2.13 1.06148 1.05354
37 2.19 1.17417 1.34146
38 2.25 1.27059 1.66968
39 2.31 1.34818 2.03616
40 2.37 1.398 2.4354
41 2.43 1.42308 2.8621
42 2.49 1.42166 3.30903
43 2.55 1.40866 3.77274
44 2.61 1.38102 4.24851
45 2.67 1.34351 4.73249
46 2.73 1.30073 5.22205
47 2.79 1.2533 5.71441
48 2.85 1.20965 6.20986
49 2.91 1.16187 6.70596
50 2.97 1.12048 7.204
51 3.03 1.0771 7.70225
52 3.09 1.03907 8.20215
53 3.15 1.0084 8.70625
54 3.21 0.978924 9.21453
55 3.27 0.954995 9.72947
56 3.33 0.938216 10.2541
57 3.39 0.921113 10.7883
58 3.45 0.910622 11.3353
59 3.51 0.902257 11.8966
60 3.57 0.896866 12.4742
61 3.63 0.895508 13.0708
62 3.69 0.896459 13.6884
63 3.75 0.899563 14.3288
64 3.81 0.90763 14.9962
65 3.87 0.915005 15.6905
66 3.93 0.924452 16.4142
67 3.99 0.93371 17.168
68 4.05 0.947578 17.9563
69 4.11 0.959896 18.779
70 4.17 0.971698 19.6366
71 4.23 0.98358 20.5298
72 4.29 0.994788 21.4589
73 4.35 1.00315 22.4224
74 4.41 1.01341 23.4225
75 4.47 1.02222 24.4588
76 4.53 1.0274 25.5281
77 4.59 1.03108 26.6296
78 4.65 1.03655 27.7657
79 4.71 1.03823 28.9328
80 4.77 1.03907 30.1306
81 4.83 1.03885 31.3584
82 4.89 1.0374 32.6148
83 4.95 1.03538 33.8995
84 5.01 1.03299 35.2122
85 5.07 1.02821 36.55
86 5.13 1.02266 37.912
87 5.19 1.01995 39.3022
88 5.25 1.01664 40.72
89 5.31 1.012 42.1636
90 5.37 1.0076 43.6334
91 5.43 1.00444 45.1315
92 5.49 1.0002 46.6564
93 5.55 0.996873 48.2098
94 5.61 0.994596 49.7934
95 5.67 0.991032 51.4049
96 5.73 0.990228 53.0499
97 5.79 0.988603 54.7272
98 5.85 0.989016 56.4403
99 5.91 0.988883 58.1886
100 5.97 0.98963 59.974
