# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en
91000 0.399929 0.282358 673.942
91500 0.390996 0.279807 670.734
92000 0.396778 0.276974 665.239
92500 0.396703 0.279466 670.449
93000 0.401271 0.275425 662.465
93500 0.394633 0.275335 666.538
94000 0.398951 0.274285 664.005
94500 0.398219 0.272001 665.217
95000 0.401949 0.272354 658.513
95500 0.398835 0.268868 647.821
96000 0.400406 0.270584 654.78
96500 0.399784 0.266283 645.713
97000 0.399224 0.26745 644.456
97500 0.398564 0.268349 651.383
98000 0.403974 0.266626 650.471
98500 0.400349 0.264151 636.652
99000 0.398008 0.262897 641.875
99500 0.397972 0.261533 626.355
100000 0.404744 0.263565 636.834
100500 0.397513 0.259637 631.054
101000 0.406161 0.25764 630.985
101500 0.394206 0.258088 631.634
102000 0.406547 0.256821 618.567
102500 0.398191 0.253361 616.399
103000 0.400875 0.256333 629.54
103500 0.395752 0.252285 625.936
104000 0.404925 0.25213 627.046
104500 0.403963 0.252592 614.609
105000 0.397564 0.251317 618.441
105500 0.40204 0.249099 604.054
106000 0.402723 0.24817 594.798
106500 0.398679 0.247418 608.032
107000 0.403193 0.246843 599.856
107500 0.39386 0.245346 588.736
108000 0.404909 0.245031 596.003
108500 0.401163 0.244372 593.146
109000 0.401859 0.243679 602.481
109500 0.401876 0.243886 596.33
110000 0.393938 0.240571 586.832
110500 0.399506 0.241019 595.569
111000 0.406208 0.239453 593.859
111500 0.403979 0.238728 587.612
112000 0.401004 0.237441 578.052
112500 0.391555 0.23656 591.322
113000 0.402249 0.236239 580.985
113500 0.391388 0.233817 572.933
114000 0.39528 0.234885 579.235
114500 0.401415 0.235347 570.023
115000 0.393008 0.232876 568.828
115500 0.400959 0.230174 569.866
116000 0.398749 0.230768 570.237
116500 0.39937 0.228746 571.197
117000 0.393602 0.227464 562.373
117500 0.401618 0.228976 560.854
118000 0.405568 0.227905 563.98
118500 0.398722 0.227245 557.887
119000 0.396175 0.225714 557.401
119500 0.406186 0.225019 560.007
120000 0.400564 0.223915 555.232
120500 0.403474 0.223783 554.562
121000 0.394947 0.222421 556.382
121500 0.398697 0.220337 545.726
122000 0.39519 0.221284 548.824
122500 0.400714 0.218794 546.896
123000 0.40041 0.219025 545.277
123500 0.398428 0.219155 541.268
124000 0.398218 0.218286 542.396
124500 0.40444 0.216592 542.252
125000 0.394152 0.216821 539.984
125500 0.403433 0.215199 534.154
