# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0156913
200 0.12981
300 0.356878
400 0.62839
500 0.92193
600 1.2458
700 1.57623
800 1.90858
900 2.25382
1000 2.6093
1100 2.97395
1200 3.33249
1300 3.68016
1400 4.04079
1500 4.41702
1600 4.80457
1700 5.1966
1800 5.58851
1900 5.99419
2000 6.38796
2100 6.73616
2200 7.07837
2300 7.43955
2400 7.81218
2500 8.17748
2600 8.55659
2700 8.97252
2800 9.42175
2900 9.88681
3000 10.3288
3100 10.709
3200 11.0336
3300 11.3362
3400 11.6648
3500 12.0394
3600 12.451
3700 12.8438
3800 13.1976
3900 13.5333
4000 13.9062
4100 14.2969
4200 14.678
4300 15.074
4400 15.4747
4500 15.8548
4600 16.2209
4700 16.5936
4800 17.0244
4900 17.4595
5000 17.846
5100 18.2212
5200 18.6026
5300 18.9532
5400 19.2537
5500 19.5207
5600 19.8188
5700 20.2043
5800 20.6254
5900 21.0221
6000 21.3696
6100 21.7463
6200 22.1988
6300 22.6689
6400 23.0586
6500 23.3566
6600 23.6518
6700 24.0084
6800 24.4216
6900 24.8433
7000 25.29
7100 25.7562
7200 26.2005
7300 26.6105
7400 26.9983
7500 27.413
7600 27.919
7700 28.5026
7800 29.0373
7900 29.4093
8000 29.6844
8100 29.9891
8200 30.3796
8300 30.8498
8400 31.3305
8500 31.7257
8600 32.0615
8700 32.4171
8800 32.8625
8900 33.3748
9000 33.8799
9100 34.3236
9200 34.7053
9300 35.0983
9400 35.5196
9500 35.9392
9600 36.3243
9700 36.7061
9800 37.1317
9900 37.5738
10000 38.013
10100 38.4236
10200 38.8154
10300 39.1946
10400 39.5919
10500 39.996
10600 40.3778
10700 40.7469
10800 41.1107
10900 41.4996
11000 41.8959
11100 42.2998
11200 42.7068
11300 43.0764
11400 43.4418
11500 43.8603
11600 44.3781
11700 45.0057
11800 45.6208
11900 46.1515
12000 46.5937
12100 47.0413
12200 47.5374
12300 48.0497
12400 48.5031
12500 48.8788
12600 49.2032
12700 49.4825
12800 49.7306
12900 50.0328
13000 50.4235
13100 50.9056
13200 51.4305
13300 51.9508
13400 52.4523
13500 52.9566
13600 53.4064
13700 53.8167
13800 54.2649
13900 54.8273
14000 55.5079
14100 56.1905
14200 56.7385
14300 57.1438
14400 57.5075
14500 57.9547
14600 58.4813
14700 58.9962
14800 59.3991
14900 59.7875
15000 60.3135
15100 61.0481
15200 61.8459
15300 62.5165
15400 62.9452
15500 63.1741
15600 63.3845
15700 63.7007
15800 64.1239
15900 64.562
16000 64.8877
16100 65.1239
16200 65.4487
16300 65.9286
16400 66.5285
16500 67.1351
16600 67.6838
16700 68.1482
16800 68.5238
16900 68.8117
17000 69.0606
17100 69.3486
17200 69.7038
17300 70.1027
17400 70.5102
17500 70.9017
17600 71.3101
17700 71.714
17800 72.071
17900 72.4225
18000 72.8209
18100 73.2508
18200 73.6783
18300 74.0925
18400 74.5317
18500 75.0562
18600 75.613
18700 76.165
18800 76.664
18900 77.1057
19000 77.5377
19100 78.0239
19200 78.6123
19300 79.2047
19400 79.6817
19500 80.1111
19600 80.6465
19700 81.2272
19800 81.753
19900 82.1847
20000 82.5646
20100 82.9619
20200 83.4158
20300 83.8738
20400 84.3161
20500 84.832
20600 85.5191
20700 86.292
20800 86.9872
20900 87.495
21000 87.877
21100 88.2839
21200 88.7808
21300 89.3298
21400 89.8546
21500 90.2763
21600 90.6153
21700 91.0095
21800 91.5305
21900 92.1744
22000 92.8809
22100 93.5635
22200 94.1394
22300 94.5966
22400 94.9297
22500 95.2204
22600 95.5846
22700 96.0766
22800 96.6692
22900 97.3159
23000 97.9567
23100 98.4934
23200 98.8793
23300 99.1671
23400 99.4876
23500 99.8877
23600 100.28
23700 100.567
23800 100.745
23900 100.912
24000 101.222
24100 101.718
24200 102.292
24300 102.824
24400 103.204
24500 103.443
24600 103.643
24700 103.897
24800 104.269
24900 104.786
25000 105.341
25100 105.825
25200 106.26
25300 106.683
25400 107.104
25500 107.493
25600 107.804
25700 108.113
25800 108.553
25900 109.091
26000 109.61
26100 110.057
26200 110.449
26300 110.818
26400 111.23
26500 111.646
26600 112.028
26700 112.436
26800 112.94
26900 113.537
27000 114.072
27100 114.429
27200 114.692
27300 115.014
27400 115.511
27500 116.173
27600 116.934
27700 117.742
27800 118.498
27900 119.026
28000 119.281
28100 119.387
28200 119.544
28300 119.852
28400 120.291
28500 120.734
28600 121.06
28700 121.3
28800 121.619
28900 122.096
29000 122.699
29100 123.338
29200 123.887
29300 124.302
29400 124.53
29500 124.594
29600 124.619
29700 124.741
29800 125.078
29900 125.575
30000 126.042
30100 126.349
30200 126.535
30300 126.753
30400 127.048
30500 127.373
30600 127.679
30700 127.985
30800 128.293
30900 128.647
31000 129.116
31100 129.722
31200 130.376
31300 130.968
31400 131.471
31500 131.867
31600 132.186
31700 132.536
31800 132.989
31900 133.484
32000 133.956
32100 134.354
32200 134.669
32300 134.911
32400 135.177
32500 135.554
32600 135.977
32700 136.406
32800 136.87
32900 137.294
33000 137.617
33100 137.82
33200 138.062
33300 138.473
33400 139.013
33500 139.531
33600 139.969
33700 140.405
33800 140.91
33900 141.497
34000 142.12
34100 142.725
34200 143.333
34300 144.009
34400 144.772
34500 145.608
34600 146.372
34700 146.855
34800 147.193
34900 147.608
35000 148.194
35100 148.927
35200 149.721
35300 150.477
35400 151.168
35500 151.808
35600 152.401
35700 152.891
35800 153.277
35900 153.694
36000 154.201
36100 154.783
36200 155.339
36300 155.792
36400 156.161
36500 156.507
36600 156.874
36700 157.271
36800 157.649
36900 157.956
37000 158.242
37100 158.657
37200 159.335
37300 160.242
37400 161.171
37500 161.895
37600 162.345
37700 162.639
37800 162.943
37900 163.352
38000 163.815
38100 164.187
38200 164.477
38300 164.821
38400 165.26
38500 165.67
38600 165.957
38700 166.239
38800 166.584
38900 166.91
39000 167.165
39100 167.338
39200 167.477
39300 167.666
39400 167.984
39500 168.395
39600 168.887
39700 169.44
39800 170.127
39900 170.913
40000 171.584
40100 172.01
40200 172.316
40300 172.664
40400 173.075
40500 173.445
40600 173.793
40700 174.194
40800 174.682
40900 175.271
41000 175.938
41100 176.6
41200 177.248
41300 177.907
41400 178.648
41500 179.374
41600 179.906
41700 180.25
41800 180.681
41900 181.295
42000 181.952
42100 182.468
42200 182.875
42300 183.292
42400 183.723
42500 184.146
42600 184.647
42700 185.31
42800 186.068
42900 186.717
43000 187.142
43100 187.38
43200 187.566
43300 187.834
43400 188.155
43500 188.441
43600 188.753
43700 189.196
43800 189.881
43900 190.719
44000 191.543
44100 192.264
44200 192.798
44300 193.155
44400 193.56
44500 194.217
44600 195.024
44700 195.77
44800 196.406
44900 197.043
45000 197.769
45100 198.517
45200 199.156
45300 199.635
45400 199.949
45500 200.183
45600 200.434
45700 200.781
45800 201.242
45900 201.787
46000 202.401
46100 203.017
46200 203.595
46300 204.109
46400 204.57
46500 205.071
46600 205.611
46700 206.107
46800 206.518
46900 206.878
47000 207.238
47100 207.615
47200 207.979
47300 208.308
47400 208.64
47500 209.05
47600 209.523
47700 210.048
47800 210.651
47900 211.369
48000 212.026
48100 212.451
48200 212.642
48300 212.779
48400 213.061
48500 213.584
48600 214.212
48700 214.716
48800 215.008
48900 215.128
49000 215.156
49100 215.191
49200 215.412
49300 215.818
49400 216.313
49500 216.855
49600 217.493
49700 218.176
49800 218.744
49900 219.152
50000 219.488
50100 219.873
50200 220.429
50300 221.202
50400 222.117
50500 222.916
50600 223.452
50700 223.665
50800 223.67
50900 223.624
51000 223.686
51100 223.897
51200 224.222
51300 224.628
51400 225.128
51500 225.738
51600 226.381
51700 226.889
51800 227.275
51900 227.655
52000 228.142
52100 228.707
52200 229.295
52300 229.845
52400 230.305
52500 230.608
52600 230.779
52700 231.003
52800 231.488
52900 232.255
53000 232.957
53100 233.338
53200 233.394
53300 233.216
53400 233.069
53500 233.189
53600 233.654
53700 234.405
53800 235.265
53900 236.074
54000 236.765
54100 237.325
54200 237.826
54300 238.397
54400 239.071
54500 239.753
54600 240.355
54700 240.862
54800 241.307
54900 241.717
55000 242.121
55100 242.511
55200 242.807
55300 242.93
55400 242.917
55500 242.867
55600 242.894
55700 243.113
55800 243.601
55900 244.263
56000 244.989
56100 245.762
56200 246.607
56300 247.558
56400 248.642
56500 249.713
56600 250.546
56700 251.066
56800 251.4
56900 251.748
57000 252.264
57100 252.923
57200 253.52
57300 253.896
57400 254.088
57500 254.325
57600 254.819
57700 255.565
57800 256.464
57900 257.323
58000 257.917
58100 258.225
58200 258.472
58300 258.797
58400 259.22
58500 259.642
58600 259.946
58700 260.189
58800 260.489
58900 260.751
59000 260.873
59100 260.975
59200 261.189
59300 261.493
59400 261.898
59500 262.397
59600 262.888
59700 263.228
59800 263.437
59900 263.665
60000 264.013
60100 264.519
60200 265.143
60300 265.834
60400 266.573
60500 267.284
60600 267.832
60700 268.18
60800 268.378
60900 268.458
61000 268.535
61100 268.791
61200 269.298
61300 269.944
61400 270.612
61500 271.259
61600 271.961
61700 272.712
61800 273.348
61900 273.754
62000 273.958
62100 274.091
62200 274.286
62300 274.553
62400 274.782
62500 275.05
62600 275.523
62700 276.154
62800 276.791
62900 277.234
63000 277.441
63100 277.549
63200 277.665
63300 277.824
63400 277.982
63500 278.198
63600 278.684
63700 279.513
63800 280.459
63900 281.342
64000 282.019
64100 282.517
64200 283.032
64300 283.68
64400 284.479
64500 285.345
64600 286.236
64700 287.089
64800 287.886
64900 288.696
65000 289.502
65100 290.201
65200 290.72
65300 291.081
65400 291.332
65500 291.54
65600 291.846
65700 292.328
65800 292.943
65900 293.577
66000 294.125
66100 294.638
66200 295.267
66300 295.949
66400 296.503
66500 296.828
66600 296.999
66700 297.177
66800 297.508
66900 298.029
67000 298.642
67100 299.246
67200 299.788
67300 300.289
67400 300.752
67500 301.15
67600 301.473
67700 301.764
67800 302.078
67900 302.417
68000 302.794
68100 303.268
68200 303.856
68300 304.551
68400 305.308
68500 306.056
68600 306.757
68700 307.411
68800 308.008
68900 308.477
69000 308.827
69100 309.202
69200 309.707
69300 310.274
69400 310.701
69500 310.875
69600 310.995
69700 311.334
69800 311.871
69900 312.383
70000 312.759
70100 313.011
70200 313.245
70300 313.582
70400 314.032
70500 314.539
70600 314.992
70700 315.39
70800 315.823
70900 316.271
71000 316.689
71100 317.066
71200 317.442
71300 317.902
71400 318.386
71500 318.774
71600 319.05
71700 319.293
71800 319.616
71900 319.966
72000 320.234
72100 320.557
72200 321.011
72300 321.518
72400 321.989
72500 322.508
72600 323.135
72700 323.883
72800 324.691
72900 325.453
73000 326.055
73100 326.402
73200 326.49
73300 326.409
73400 326.313
73500 326.311
73600 326.454
73700 326.685
73800 326.931
73900 327.248
74000 327.696
74100 328.251
74200 328.843
74300 329.433
74400 330.061
74500 330.649
74600 331.114
74700 331.579
74800 332.19
74900 332.938
75000 333.699
75100 334.417
75200 335.039
75300 335.451
75400 335.671
75500 335.839
75600 336.063
75700 336.398
75800 336.859
75900 337.359
76000 337.762
76100 338.052
76200 338.321
76300 338.677
76400 339.02
76500 339.244
76600 339.44
76700 339.718
76800 340.016
76900 340.307
77000 340.638
77100 341.086
77200 341.601
77300 342.091
77400 342.542
77500 343.001
77600 343.493
77700 344.07
77800 344.776
77900 345.544
78000 346.294
78100 346.984
78200 347.646
78300 348.332
78400 349.075
78500 349.876
78600 350.739
78700 351.559
78800 352.253
78900 352.834
79000 353.247
79100 353.435
79200 353.508
79300 353.705
79400 354.167
79500 354.828
79600 355.492
79700 356.032
79800 356.477
79900 356.82
80000 357.071
80100 357.319
80200 357.668
80300 358.095
80400 358.6
80500 359.138
80600 359.655
80700 360.113
80800 360.644
80900 361.305
81000 361.98
81100 362.461
81200 362.645
81300 362.679
81400 362.786
81500 363.072
81600 363.479
81700 363.821
81800 363.95
81900 363.945
82000 364.082
82100 364.53
82200 365.168
82300 365.762
82400 366.15
82500 366.406
82600 366.719
82700 367.204
82800 367.884
82900 368.692
83000 369.555
83100 370.41
83200 371.184
83300 371.659
83400 371.812
83500 371.825
83600 371.829
83700 371.832
83800 371.96
83900 372.328
84000 372.866
84100 373.456
84200 374.07
84300 374.714
84400 375.36
84500 375.957
84600 376.505
84700 376.996
84800 377.427
84900 377.823
85000 378.262
85100 378.745
85200 379.264
85300 379.786
85400 380.225
85500 380.526
85600 380.617
85700 380.547
85800 380.51
85900 380.626
86000 380.867
86100 381.163
86200 381.544
86300 382.135
86400 382.837
86500 383.346
86600 383.559
86700 383.623
86800 383.747
86900 383.988
87000 384.266
87100 384.48
87200 384.534
87300 384.535
87400 384.691
87500 385.062
87600 385.487
87700 385.71
87800 385.676
87900 385.637
88000 385.795
88100 386.182
88200 386.698
88300 387.172
88400 387.588
88500 388.077
88600 388.7
88700 389.41
88800 390.069
88900 390.643
89000 391.251
89100 391.988
89200 392.765
89300 393.515
89400 394.29
89500 395.096
89600 395.79
89700 396.332
89800 396.842
89900 397.369
90000 397.904
90100 398.404
90200 398.771
90300 398.913
90400 398.818
90500 398.614
90600 398.533
90700 398.697
90800 399.072
90900 399.574
91000 400.01
91100 400.252
91200 400.4
91300 400.805
91400 401.656
91500 402.742
91600 403.703
91700 404.285
91800 404.612
91900 405.054
92000 405.702
92100 406.329
92200 406.739
92300 406.905
92400 406.95
92500 407.007
92600 407.186
92700 407.633
92800 408.248
92900 408.788
93000 409.3
93100 409.963
93200 410.807
93300 411.68
93400 412.493
93500 413.256
93600 413.87
93700 414.408
93800 415.129
93900 416.156
94000 417.398
94100 418.64
94200 419.616
94300 420.154
94400 420.393
94500 420.628
94600 421.087
94700 421.746
94800 422.395
94900 422.842
95000 423.099
95100 423.266
95200 423.405
95300 423.605
95400 423.957
95500 424.433
95600 424.913
95700 425.323
95800 425.607
95900 425.845
96000 426.169
96100 426.637
96200 427.264
96300 427.991
96400 428.575
96500 428.884
96600 429.105
96700 429.577
96800 430.49
96900 431.724
97000 432.909
97100 433.691
97200 434.025
97300 434.193
97400 434.561
97500 435.305
97600 436.256
97700 437.154
97800 437.855
97900 438.329
98000 438.717
98100 439.31
98200 440.096
98300 440.805
98400 441.233
98500 441.41
98600 441.42
98700 441.417
98800 441.524
98900 441.79
99000 442.164
99100 442.524
99200 442.852
99300 443.302
99400 443.993
99500 444.771
99600 445.352
99700 445.585
99800 445.557
99900 445.497
100000 445.654
100100 445.973
