# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0177873
200 0.149049
300 0.418484
400 0.7532
500 1.11147
600 1.49542
700 1.90375
800 2.33739
900 2.7923
1000 3.24782
1100 3.68461
1200 4.11449
1300 4.55369
1400 4.99858
1500 5.4665
1600 5.93223
1700 6.36166
1800 6.7814
1900 7.23271
2000 7.73822
2100 8.2765
2200 8.82894
2300 9.37075
2400 9.87138
2500 10.3244
2600 10.7593
2700 11.1838
2800 11.622
2900 12.0826
3000 12.5848
3100 13.1079
3200 13.604
3300 14.0694
3400 14.5199
3500 14.9535
3600 15.4129
3700 15.9536
3800 16.5552
3900 17.1247
4000 17.627
4100 18.0827
4200 18.5992
4300 19.2023
4400 19.7915
4500 20.3029
4600 20.7732
4700 21.2602
4800 21.7589
4900 22.2343
5000 22.65
5100 23.0637
5200 23.5
5300 23.8937
5400 24.2646
5500 24.6589
5600 25.0708
5700 25.4976
5800 25.97
5900 26.4835
6000 27.0541
6100 27.5908
6200 28.0498
6300 28.4599
6400 28.8557
6500 29.2852
6600 29.7283
6700 30.1804
6800 30.6541
6900 31.1309
7000 31.5829
7100 32.0608
7200 32.6391
7300 33.288
7400 33.9074
7500 34.4663
7600 34.9429
7700 35.375
7800 35.8002
7900 36.2349
8000 36.7083
8100 37.2083
8200 37.7278
8300 38.2218
8400 38.6059
8500 38.9673
8600 39.4062
8700 39.954
8800 40.5184
8900 41.0141
9000 41.4327
9100 41.826
9200 42.2541
9300 42.7416
9400 43.2216
9500 43.663
9600 44.1137
9700 44.6527
9800 45.2885
9900 45.9762
10000 46.6673
10100 47.3557
10200 48.0314
10300 48.6779
10400 49.261
10500 49.7707
10600 50.1946
10700 50.6418
10800 51.1566
10900 51.7048
11000 52.2327
11100 52.7273
11200 53.2843
11300 53.9675
11400 54.6624
11500 55.2431
11600 55.742
11700 56.2419
11800 56.8169
11900 57.4694
12000 58.1532
12100 58.7986
12200 59.3729
12300 59.8754
12400 60.4167
12500 61.0618
12600 61.7835
12700 62.4601
12800 63.0198
12900 63.4756
13000 63.8771
13100 64.2827
13200 64.7316
13300 65.2607
13400 65.8537
13500 66.4639
13600 66.9649
13700 67.387
13800 67.811
13900 68.2757
14000 68.7932
14100 69.3616
14200 69.9148
14300 70.4021
14400 70.8593
14500 71.3195
14600 71.77
14700 72.2182
14800 72.6165
14900 73.0139
15000 73.43
15100 73.9484
15200 74.5962
15300 75.295
15400 75.8919
15500 76.4
15600 76.9481
15700 77.5515
15800 78.1202
15900 78.6089
16000 79.0241
16100 79.4879
16200 80.1451
16300 80.9647
16400 81.7836
16500 82.453
16600 82.9971
16700 83.5359
16800 84.0673
16900 84.5382
17000 84.9545
17100 85.3779
17200 85.7973
17300 86.1984
17400 86.625
17500 87.1722
17600 87.8332
17700 88.5303
17800 89.1951
17900 89.8388
18000 90.5473
18100 91.3804
18200 92.2462
18300 93.0194
18400 93.6143
18500 94.0143
18600 94.3219
18700 94.7571
18800 95.2807
18900 95.712
19000 96.0542
19100 96.3647
19200 96.7379
19300 97.2582
19400 97.8915
19500 98.4851
19600 98.9604
19700 99.2852
19800 99.5778
19900 99.9534
20000 100.444
20100 100.974
20200 101.453
20300 101.917
20400 102.379
20500 102.829
20600 103.387
20700 104.085
20800 104.835
20900 105.515
21000 106.119
21100 106.69
21200 107.251
21300 107.895
21400 108.666
21500 109.487
21600 110.271
