# Time-averaged data for fix 9
# TimeStep c_msd[4]
41400 133.831
41500 134.296
41600 134.84
41700 135.424
41800 135.98
41900 136.436
42000 136.858
42100 137.318
42200 137.797
42300 138.271
42400 138.761
42500 139.264
42600 139.737
42700 140.151
42800 140.487
42900 140.731
43000 140.977
43100 141.331
43200 141.739
43300 142.124
43400 142.453
43500 142.768
43600 143.115
43700 143.445
43800 143.688
43900 143.824
44000 143.928
44100 144.031
44200 144.113
44300 144.22
44400 144.42
44500 144.749
44600 145.131
44700 145.397
44800 145.535
44900 145.685
45000 145.928
45100 146.289
45200 146.686
45300 146.991
45400 147.198
45500 147.446
45600 147.841
45700 148.369
45800 148.936
45900 149.454
46000 149.895
46100 150.307
46200 150.758
46300 151.257
46400 151.758
46500 152.166
46600 152.476
46700 152.815
46800 153.243
46900 153.71
47000 154.143
47100 154.527
47200 154.875
47300 155.158
47400 155.391
47500 155.644
47600 155.911
47700 156.191
47800 156.524
47900 156.862
48000 157.101
48100 157.245
48200 157.39
48300 157.572
48400 157.827
48500 158.282
48600 158.947
48700 159.669
48800 160.261
48900 160.642
49000 160.905
49100 161.17
49200 161.507
49300 162
49400 162.693
49500 163.521
49600 164.282
49700 164.865
49800 165.295
49900 165.59
50000 165.806
50100 166.034
50200 166.284
50300 166.539
50400 166.865
50500 167.351
50600 167.962
50700 168.571
50800 169.07
50900 169.432
51000 169.643
51100 169.753
51200 169.862
51300 170.051
51400 170.307
51500 170.617
51600 170.94
51700 171.224
51800 171.519
51900 171.884
52000 172.299
52100 172.768
52200 173.253
52300 173.654
52400 173.952
52500 174.335
52600 175.033
52700 175.969
52800 176.854
52900 177.481
53000 177.835
53100 178.048
53200 178.338
53300 178.824
53400 179.47
53500 180.161
53600 180.759
53700 181.201
53800 181.525
53900 181.814
54000 182.175
54100 182.617
54200 183.121
54300 183.643
54400 184.098
54500 184.489
54600 184.851
54700 185.247
54800 185.663
54900 186.041
55000 186.357
55100 186.618
55200 186.881
55300 187.262
55400 187.811
55500 188.497
55600 189.283
55700 190.021
55800 190.596
55900 190.988
56000 191.247
56100 191.42
56200 191.529
56300 191.654
56400 191.93
56500 192.392
56600 192.867
56700 193.165
56800 193.326
56900 193.512
57000 193.83
57100 194.26
57200 194.703
57300 195.138
57400 195.611
57500 196.131
57600 196.622
57700 196.945
57800 197.027
57900 196.997
58000 197.041
58100 197.305
58200 197.785
